id;name;taxId;gender;dateOfBirth;status;externalCode;isEnriched;enrichedAt;enrichedBy;createdAt;createdBy;updatedAt;updatedBy;phone;email;lastOrderDate
371;Caroline da Rocha;04.381.526/0001-10;M;1955-08-05;1;;False;;;2025-06-08T10:58:46;luiz-felipefreitas;2025-06-08T10:58:46;luiz-felipefreitas;6114276951;caroline5@ig.com.br;2025-11-27T13:07:27
372;Mathias Souza;93.217.048/0001-37;M;1978-09-17;1;DPPS1742;True;2025-11-18T04:45:09;maya41;2025-06-12T13:02:44;esampaio;2025-06-12T13:02:44;esampaio;553178766720;mathias60@ig.com.br;2025-09-27T12:51:54
373;Luiz Fernando Martins;809.126.374-04;F;2005-05-15;1;;False;;;2025-06-14T09:50:39;ubarbosa;2025-06-14T09:50:39;ubarbosa;8155160237;luiz43@ig.com.br;2025-10-13T19:38:12
374;Maria Flor Fogaça;583.947.120-88;M;1991-01-31;2;;True;2025-11-29T16:15:53;pachecobenicio;2025-11-24T04:25:00;castrovinicius;2025-11-24T04:25:00;castrovinicius;5506145358681;maria81@bol.com.br;
375;Sr. Bryan Camargo;937.504.816-01;O;1994-12-09;1;;False;;;2024-12-27T10:35:40;oliver38;2024-12-27T10:35:40;oliver38;5504120634699;sr.30@ig.com.br;2025-09-21T10:09:21
376;José Pedro Rodrigues;385.091.742-88;M;1978-03-11;2;;True;2025-10-31T03:43:05;joao-lucasnovaes;2025-10-26T04:03:49;da-matasara;2025-10-26T04:03:49;da-matasara;8458635464;josé96@hotmail.com;
377;Isis Farias;905.148.237-04;F;1962-09-25;2;NUVE4946;False;;;2025-05-20T15:14:39;qrezende;2025-05-20T15:14:39;qrezende;3006041504;isis11@yahoo.com.br;2025-05-30T21:55:41
378;Eduarda Costa;617.942.350-43;M;1961-09-10;1;OROA7941;True;2024-12-24T13:05:36;lsales;2024-06-23T13:29:38;mariahpastor;2024-06-23T13:29:38;mariahpastor;5501105422424;eduarda23@bol.com.br;2025-11-22T12:58:45
379;Luiza Carvalho;059.376.842-65;M;1978-05-10;1;;True;2024-10-06T09:28:17;henry-gabriel03;2024-04-30T17:22:17;maria-sophia96;2024-04-30T17:22:17;maria-sophia96;557140330733;luiza58@uol.com.br;2025-07-28T09:33:07
380;Sra. Maria Sophia Araújo;731.462.098-96;F;1974-03-18;1;;False;;;2024-12-11T14:46:19;salesmiguel;2024-12-11T14:46:19;salesmiguel;1161217054;sra.67@bol.com.br;2025-07-08T13:20:54
381;Dr. Carlos Eduardo Pacheco;854.601.329-24;M;1960-03-03;1;DGVF9941;True;2025-08-01T02:17:51;vitor-gabrielcosta;2025-07-27T06:46:00;dvieira;2025-07-27T06:46:00;dvieira;5503104969810;dr.16@ig.com.br;2025-11-21T09:22:59
382;Bella Lopes;95.327.180/0001-27;F;1973-08-01;1;;True;2025-03-23T00:02:40;caldeirajoana;2025-03-10T17:40:50;mariahfogaca;2025-03-10T17:40:50;mariahfogaca;5508488952653;bella92@hotmail.com;2025-06-05T16:48:45
383;Ana Luiza Carvalho;850.163.724-62;O;1990-03-05;2;;True;2025-04-05T18:58:27;ana-clarapereira;2024-02-19T11:27:47;joao-guilherme44;2024-02-19T11:27:47;joao-guilherme44;555177987056;ana5@gmail.com;2024-11-04T11:38:05
384;Mariane Cunha;391.568.072-95;M;1974-09-13;1;;False;;;2024-08-26T17:28:47;ravi-luccaaparecida;2024-08-26T17:28:47;ravi-luccaaparecida;4155164374;mariane10@bol.com.br;2025-07-10T20:20:57
385;Nicole Cassiano;865.239.071-12;F;1956-02-17;2;DZYJ6736;True;2025-11-28T12:34:21;ian40;2025-07-18T16:50:26;ecostela;2025-07-18T16:50:26;ecostela;9000531086;nicole32@yahoo.com.br;
386;Bernardo Vieira;765.034.128-35;M;1974-01-11;1;;True;2024-04-17T11:01:20;vduarte;2024-03-17T09:47:31;pintoleandro;2024-03-17T09:47:31;pintoleandro;3134302805;bernardo50@gmail.com;2025-06-06T12:31:53
387;Rafaela Peixoto;14.096.578/0001-06;F;1963-05-08;2;;False;;;2025-08-19T15:13:21;caldeiracamila;2025-08-19T15:13:21;caldeiracamila;5506139630674;rafaela24@gmail.com;
388;Kaique da Luz;904.182.736-69;M;1950-03-07;2;;True;2025-10-17T18:13:46;maria-julia57;2025-09-29T14:15:03;mariane52;2025-09-29T14:15:03;mariane52;8112610994;kaique87@bol.com.br;
389;Leonardo Fernandes;785.492.310-88;M;1988-11-03;1;VHBW2877;True;2025-06-12T16:27:18;isilveira;2025-05-21T18:26:03;ana-julia11;2025-05-21T18:26:03;ana-julia11;5502159100295;leonardo94@hotmail.com;2025-11-02T12:22:18
390;Heitor Castro;475.386.912-19;M;1987-08-12;2;;False;;;2025-09-18T12:52:06;ninacardoso;2025-09-18T12:52:06;ninacardoso;8105823909;heitor78@yahoo.com.br;
391;Heloísa Castro;937.405.268-74;M;1987-12-12;1;;False;;;2025-08-04T22:02:43;vitor-hugo25;2025-08-04T22:02:43;vitor-hugo25;2119055548;heloísa54@yahoo.com.br;2025-09-12T19:22:36
392;Emanuella Vasconcelos;180.465.273-35;F;1981-12-17;1;;False;;;2025-03-10T00:59:17;msantos;2025-03-10T00:59:17;msantos;5501144209001;emanuella31@uol.com.br;2025-06-21T13:38:03
393;Alícia Cassiano;814.903.675-00;F;1994-12-21;1;;False;;;2025-07-13T18:41:05;nda-luz;2025-07-13T18:41:05;nda-luz;8152836939;alícia33@hotmail.com;2025-11-07T09:40:57
394;Lorenzo Dias;504.721.638-17;M;1985-02-11;2;;False;;;2024-12-09T04:49:00;lborges;2024-12-09T04:49:00;lborges;554149624357;lorenzo99@uol.com.br;2025-04-27T12:03:30
395;Rodrigo Siqueira;421.975.806-20;O;1999-08-30;1;KMBH2822;True;2025-03-14T00:51:30;vieiraapollo;2025-01-13T09:56:39;juliaferreira;2025-01-13T09:56:39;juliaferreira;8140997578;rodrigo77@yahoo.com.br;2025-06-05T20:44:35
396;Mirella Nunes;25.069.148/0001-03;M;1989-05-07;2;UBJF5398;True;2025-10-01T17:53:44;martinsluna;2025-09-28T13:45:57;marina17;2025-09-28T13:45:57;marina17;5502193287015;mirella13@ig.com.br;
397;Alícia Mendes;62.041.859/0001-04;M;1991-07-16;1;VGEA7341;True;2025-04-29T13:00:13;viniciusmonteiro;2024-10-01T05:17:02;limaana-luiza;2024-10-01T05:17:02;limaana-luiza;5508137128987;alícia22@bol.com.br;2025-10-06T13:51:08
398;Carolina Caldeira;047.183.692-31;F;2005-11-16;1;;True;2024-06-13T21:56:27;guilherme83;2024-05-05T23:28:54;ccardoso;2024-05-05T23:28:54;ccardoso;1157982172;carolina74@yahoo.com.br;2025-10-01T11:40:24
399;Anthony Peixoto;310.658.247-26;F;2003-02-19;1;;False;;;2025-06-17T09:01:01;nrios;2025-06-17T09:01:01;nrios;558426533785;anthony76@uol.com.br;2025-11-02T23:55:35
400;Maria Júlia Pinto;461.309.285-05;M;1995-11-27;1;JIJB7411;True;2025-11-16T18:25:19;zoegarcia;2024-01-20T02:28:18;josue19;2024-01-20T02:28:18;josue19;551198641139;maria24@hotmail.com;2025-07-19T11:34:37
401;João Vitor Novaes;038.149.652-05;F;1988-01-27;1;;True;2024-10-29T13:22:12;limarafael;2024-01-12T09:18:17;manuela58;2024-01-12T09:18:17;manuela58;4153529368;joão24@yahoo.com.br;2025-11-24T08:53:08
402;Juan da Cruz;58.921.364/0001-94;M;2004-02-02;1;;True;2025-07-25T00:34:52;maria-isis18;2024-09-25T14:05:31;dante47;2024-09-25T14:05:31;dante47;6141274353;juan88@bol.com.br;2025-10-09T20:05:26
403;Ágatha Abreu;39.140.786/0001-88;F;1982-09-16;2;;False;;;2025-02-23T12:53:06;pietramontenegro;2025-02-23T12:53:06;pietramontenegro;7170904884;ágatha56@gmail.com;
404;Sra. Liz da Mata;045.687.193-48;F;1950-05-01;1;;False;;;2025-01-27T18:30:47;sara15;2025-01-27T18:30:47;sara15;8166891224;sra.88@hotmail.com;2025-11-02T22:15:31
405;Stella da Paz;90.483.271/0001-38;F;1998-09-30;1;;True;2025-06-10T10:11:26;catarinalopes;2024-07-03T22:57:12;yasmingoncalves;2024-07-03T22:57:12;yasmingoncalves;5508120775614;stella72@bol.com.br;2025-11-08T13:24:38
406;Danilo Oliveira;142.053.896-98;F;1965-11-21;1;;False;;;2025-04-19T09:18:06;vicente97;2025-04-19T09:18:06;vicente97;553197795108;danilo32@ig.com.br;2025-07-21T13:17:22
407;Sra. Marcela Camargo;31.807.962/0001-80;M;1997-07-03;2;;True;2025-10-07T09:07:58;luigipinto;2025-10-05T08:41:50;machadoliam;2025-10-05T08:41:50;machadoliam;554109485912;sra.71@bol.com.br;
408;Maria Alice Barbosa;328.156.794-00;M;1957-12-23;1;;True;2025-08-23T14:52:30;barrosmaria-isis;2025-07-14T03:46:08;fernandesvalentina;2025-07-14T03:46:08;fernandesvalentina;3185809809;maria62@uol.com.br;2025-11-11T20:42:23
409;Vitor Dias;163.904.728-03;F;2000-02-28;2;;True;2025-08-14T00:23:54;pietra99;2025-01-03T09:47:50;viniciusda-conceicao;2025-01-03T09:47:50;viniciusda-conceicao;5504181454941;vitor86@gmail.com;2025-05-01T21:33:04
410;Sr. Breno Novais;763.408.925-74;M;1964-09-18;2;;True;2025-05-06T08:54:44;ngoncalves;2025-03-02T10:43:26;kaique94;2025-03-02T10:43:26;kaique94;552178547977;sr.74@hotmail.com;
411;Luiz Henrique Pacheco;237.465.190-80;F;1991-01-09;1;;False;;;2025-07-19T15:02:21;ana-beatriz59;2025-07-19T15:02:21;ana-beatriz59;3196814947;luiz5@yahoo.com.br;2025-07-31T22:46:06
412;Eduardo Monteiro;723.904.186-78;M;1955-10-24;2;NKPI6237;True;2025-08-21T11:29:32;jose-miguel57;2025-08-14T22:50:37;joaquim39;2025-08-14T22:50:37;joaquim39;2169007647;eduardo67@ig.com.br;
413;Clara Moraes;870.254.963-83;O;1977-07-23;1;;False;;;2025-10-04T01:31:00;wcampos;2025-10-04T01:31:00;wcampos;554147621015;clara19@uol.com.br;2025-11-03T08:36:07
414;Juliana Cirino;175.238.064-90;M;1971-10-28;2;;True;2025-11-16T10:55:22;ana-sophia57;2025-04-15T07:13:42;lunamoura;2025-04-15T07:13:42;lunamoura;2191389803;juliana18@hotmail.com;2025-05-26T21:45:11
415;Caroline Borges;302.871.965-77;F;1999-06-09;1;;True;2025-11-19T20:11:01;joao-lucasbarbosa;2025-07-13T14:58:38;wgoncalves;2025-07-13T14:58:38;wgoncalves;5505190812738;caroline72@ig.com.br;2025-08-30T21:06:48
416;Carolina Fernandes;452.831.967-55;F;1982-03-09;2;;True;2025-01-17T07:47:34;sarah58;2024-02-16T10:46:41;isaqueazevedo;2024-02-16T10:46:41;isaqueazevedo;3102533034;carolina51@gmail.com;2025-03-20T21:56:14
417;Gabrielly Cavalcanti;957.813.604-84;F;1952-06-21;1;;False;;;2025-01-10T18:20:18;da-cruzantonella;2025-01-10T18:20:18;da-cruzantonella;8483052110;gabrielly1@bol.com.br;2025-08-30T21:19:44
418;Heloisa Pereira;639.024.185-24;F;1967-11-27;1;LJIN7729;False;;;2025-01-07T06:34:20;umendes;2025-01-07T06:34:20;umendes;5508129387972;heloisa28@bol.com.br;2025-08-18T09:32:10
419;Lívia Azevedo;816.745.023-62;M;1966-03-09;1;;True;2025-07-07T04:34:38;fariasluara;2025-05-03T23:31:28;pereiracaio;2025-05-03T23:31:28;pereiracaio;8188240252;lívia97@yahoo.com.br;2025-10-09T23:34:03
420;Eduarda Novaes;487.136.052-08;M;1964-01-17;1;;True;2025-06-30T13:37:34;joao-guilherme13;2024-05-19T08:09:01;raulvasconcelos;2024-05-19T08:09:01;raulvasconcelos;556170883552;eduarda48@gmail.com;2025-07-07T16:22:38
421;Heloisa Siqueira;85.964.137/0001-19;F;1983-04-14;1;;True;2025-09-24T09:22:08;fernanda14;2025-03-28T03:50:51;freitaspedro-lucas;2025-03-28T03:50:51;freitaspedro-lucas;5503115427439;heloisa39@yahoo.com.br;2025-11-14T23:27:14
422;Amanda da Mota;503.712.486-71;M;1995-10-22;1;;False;;;2024-04-30T18:39:26;xfarias;2024-04-30T18:39:26;xfarias;556166058639;amanda59@uol.com.br;2025-11-19T11:37:21
423;Mariah Macedo;891.637.452-91;F;1976-08-22;1;;True;2025-09-04T17:35:01;eduardacampos;2024-06-20T22:40:25;rochanoah;2024-06-20T22:40:25;rochanoah;5507121645790;mariah35@hotmail.com;2025-09-08T11:34:08
424;Rhavi Fernandes;78.215.930/0001-50;F;1975-01-19;1;;True;2025-03-21T16:29:32;cavalcantilevi;2024-07-20T02:17:54;maria-fernanda31;2024-07-20T02:17:54;maria-fernanda31;8427397461;rhavi75@ig.com.br;2025-09-27T09:01:14
425;Igor Azevedo;982.704.635-74;F;1978-05-04;2;EZTK4449;False;;;2025-10-26T19:15:12;agathadas-neves;2025-10-26T19:15:12;agathadas-neves;557141826708;igor58@bol.com.br;
426;Srta. Clarice Pinto;381.256.049-60;M;1986-04-15;1;;True;2025-11-03T13:09:25;pereirahadassa;2025-04-07T08:40:18;henrique91;2025-04-07T08:40:18;henrique91;3136464943;srta.65@yahoo.com.br;2025-11-19T10:32:36
427;Pedro Campos;204.138.759-97;F;1999-11-20;1;;False;;;2025-02-17T07:08:57;yasminfreitas;2025-02-17T07:08:57;yasminfreitas;7190278808;pedro38@hotmail.com;2025-09-13T11:03:55
428;Davi da Paz;21.794.386/0001-20;;2006-04-09;1;;True;2025-10-16T02:34:55;gael53;2025-06-12T16:24:28;andre87;2025-06-12T16:24:28;andre87;8140180117;davi74@yahoo.com.br;2025-11-16T22:02:02
429;Eloah Martins;902.167.834-96;M;1962-05-14;2;;False;;;2025-09-24T02:16:12;duarteana-livia;2025-09-24T02:16:12;duarteana-livia;8403849612;eloah9@yahoo.com.br;
430;Ana Luiza Pinto;167.429.085-30;F;1982-08-27;1;;True;2025-11-02T07:54:22;luiz-fernandosilveira;2025-10-12T03:20:26;pedro-lucascasa-grande;2025-10-12T03:20:26;pedro-lucascasa-grande;8177341930;ana56@ig.com.br;2025-11-09T23:16:30
431;Mirella das Neves;013.829.467-40;F;1952-07-25;1;;False;;;2025-01-10T11:25:10;cassianoluiz-henrique;2025-01-10T11:25:10;cassianoluiz-henrique;8136264791;mirella59@uol.com.br;2025-08-09T20:24:52
432;Heloisa Santos;604.179.358-20;M;1985-12-05;1;GUIF3104;True;2025-10-18T18:07:02;piresnina;2025-06-04T09:27:53;pintoarthur;2025-06-04T09:27:53;pintoarthur;2119790638;heloisa33@uol.com.br;2025-08-16T12:50:45
433;Lunna da Conceição;837.562.094-74;F;1969-05-25;1;;True;2025-07-17T06:44:41;da-cruzmatheus;2025-02-27T12:10:29;julia85;2025-02-27T12:10:29;julia85;5107820668;lunna59@hotmail.com;2025-08-27T08:13:46
434;Samuel Porto;370.182.649-87;M;1961-01-28;1;;False;;;2024-09-27T03:04:01;maria-flor50;2024-09-27T03:04:01;maria-flor50;8408192997;samuel11@ig.com.br;2025-06-04T12:26:25
435;Maya Macedo;086.951.374-57;F;1974-05-20;2;LBKE5092;True;2025-11-29T20:26:23;mribeiro;2025-11-05T17:38:23;gustavo99;2025-11-05T17:38:23;gustavo99;4105530959;maya25@gmail.com;
436;Yasmin Viana;357.418.269-46;M;1988-01-04;2;;True;2025-11-24T15:40:29;sofia63;2025-11-10T18:56:54;lara47;2025-11-10T18:56:54;lara47;6155257319;yasmin6@uol.com.br;
437;Henry Gabriel Nogueira;965.124.730-43;M;2002-05-15;1;;False;;;2025-07-18T15:42:19;epires;2025-07-18T15:42:19;epires;5507171761201;henry93@uol.com.br;2025-11-25T19:49:08
438;Francisco Fogaça;651.784.290-01;F;1962-02-18;2;;False;;;2025-10-20T22:57:45;leticiajesus;2025-10-20T22:57:45;leticiajesus;1129172897;francisco28@ig.com.br;
439;Ísis Pires;603.274.589-92;F;1963-07-04;2;;True;2025-11-27T05:45:43;gustavo-henrique72;2025-11-27T01:33:40;igor36;2025-11-27T01:33:40;igor36;555166320199;ísis40@ig.com.br;
440;Dra. Ana Luiza Sales;690.412.735-06;F;1994-02-25;2;;False;;;2024-10-25T00:23:23;machadothiago;2024-10-25T00:23:23;machadothiago;5505117294887;dra.27@gmail.com;2025-01-11T15:10:18
441;Srta. Emilly Cavalcanti;91.483.502/0001-76;;1997-06-08;1;;True;2025-03-08T00:45:16;fonsecavinicius;2025-02-07T09:48:22;fernandesliz;2025-02-07T09:48:22;fernandesliz;5194661216;srta.17@gmail.com;2025-06-14T21:47:59
442;Sr. Mathias Martins;197.462.583-46;M;1968-01-06;1;;True;2025-11-21T04:36:53;ravi-luccamoura;2025-09-07T01:24:27;camila51;2025-09-07T01:24:27;camila51;8122866100;sr.1@yahoo.com.br;2025-10-16T19:54:23
443;Davi Lucca Nunes;812.753.649-00;F;2002-03-20;1;;True;2024-10-22T08:46:58;ida-luz;2024-05-24T00:04:41;olivia13;2024-05-24T00:04:41;olivia13;2112460133;davi6@bol.com.br;2025-07-22T20:54:36
444;Ravi Lucca Moreira;73.285.140/0001-27;F;1980-03-22;1;FGKO4086;False;;;2024-10-13T00:48:39;eduardaviana;2024-10-13T00:48:39;eduardaviana;8175982270;ravi24@bol.com.br;2025-09-19T16:18:35
445;Maria Vitória Moura;971.508.364-10;F;1979-05-17;2;;False;;;2024-05-30T00:17:14;caldeiraheloisa;2024-05-30T00:17:14;caldeiraheloisa;4186608780;maria21@uol.com.br;2025-02-06T19:38:43
446;Davi Lucca da Luz;84.270.563/0001-90;F;1990-12-13;1;;True;2025-08-03T18:16:42;igorpinto;2025-06-09T15:52:45;moreirajoao-miguel;2025-06-09T15:52:45;moreirajoao-miguel;5508115678456;davi7@ig.com.br;2025-11-21T19:23:35
447;Sr. Lucas Cavalcanti;07.912.385/0001-02;M;1992-11-16;2;;False;;;2025-11-09T02:49:32;juliarios;2025-11-09T02:49:32;juliarios;5507177430187;sr.24@hotmail.com;
448;Vitor Rodrigues;813.490.527-79;F;1959-01-09;1;;True;2025-09-21T22:07:28;britovitor;2025-03-27T15:51:19;allanapires;2025-03-27T15:51:19;allanapires;3150445557;vitor83@ig.com.br;2025-09-28T23:30:26
449;Mariane Santos;590.743.261-61;M;1991-12-12;1;;False;;;2025-03-21T02:57:59;mendoncabenicio;2025-03-21T02:57:59;mendoncabenicio;7137728828;mariane53@ig.com.br;2025-06-28T13:17:14
450;Maria Cecília Barbosa;714.290.653-70;M;1972-01-03;1;;False;;;2025-08-27T04:23:58;maria-alicemelo;2025-08-27T04:23:58;maria-alicemelo;556173989284;maria84@ig.com.br;2025-11-10T14:15:15
451;Caroline Martins;416.507.823-90;M;1956-09-20;1;UJYD9467;True;2025-07-19T12:24:56;diasdavi-lucas;2024-06-23T17:54:36;amanda62;2024-06-23T17:54:36;amanda62;7106949851;caroline33@hotmail.com;2025-09-26T23:52:36
452;Sofia Sá;675.289.034-00;M;1983-10-15;1;;False;;;2025-08-28T11:31:25;vitor17;2025-08-28T11:31:25;vitor17;7130641270;sofia63@yahoo.com.br;2025-11-16T21:21:20
453;José Miguel Pereira;701.845.369-01;F;1953-10-02;1;;True;2025-07-16T14:41:22;josuejesus;2025-01-04T09:16:23;tbarbosa;2025-01-04T09:16:23;tbarbosa;5503123013977;josé31@gmail.com;2025-11-06T12:13:49
454;Heloisa Barbosa;19.275.380/0001-03;F;1998-01-11;1;DRJO5872;True;2025-07-15T16:17:58;ycastro;2025-02-16T16:34:34;joao-feliperamos;2025-02-16T16:34:34;joao-feliperamos;558444664798;heloisa67@ig.com.br;2025-10-17T13:25:39
455;Vitor Gabriel Martins;520.384.961-70;F;1957-11-08;1;XYOW0186;False;;;2024-12-16T09:49:54;dda-conceicao;2024-12-16T09:49:54;dda-conceicao;5508498457246;vitor40@yahoo.com.br;2025-07-02T08:18:57
456;Dra. Emanuelly Albuquerque;49.356.827/0001-21;M;2005-06-06;1;PFZV8540;False;;;2025-09-02T10:43:28;antonio88;2025-09-02T10:43:28;antonio88;553178742060;dra.35@bol.com.br;2025-11-23T17:01:23
457;Isis Silva;938.074.516-84;F;1989-03-05;1;;True;2025-03-13T01:07:12;joao-miguel47;2024-02-29T10:22:03;daniel80;2024-02-29T10:22:03;daniel80;5508474447184;isis76@gmail.com;2025-08-29T21:40:33
458;Luiz Fernando da Cruz;16.853.207/0001-49;F;1984-04-03;1;;True;2024-05-28T07:20:36;saester;2024-05-12T18:56:32;aylarodrigues;2024-05-12T18:56:32;aylarodrigues;555125445113;luiz14@uol.com.br;2025-09-25T11:26:14
459;Gabriel Souza;203.687.194-13;O;1964-10-30;2;EBNC9532;True;2025-11-09T01:42:49;maria-laura76;2025-09-25T10:37:09;gabriel44;2025-09-25T10:37:09;gabriel44;552187091492;gabriel23@uol.com.br;
460;Davi Luiz Porto;40.826.937/0001-35;;1997-03-09;1;KVKF3525;False;;;2025-03-07T12:35:31;sarahduarte;2025-03-07T12:35:31;sarahduarte;5508485364607;davi50@gmail.com;2025-11-20T22:22:14
461;Samuel Melo;072.913.645-07;;1966-03-28;1;;False;;;2024-03-19T15:07:54;acorreia;2024-03-19T15:07:54;acorreia;5503178863471;samuel69@ig.com.br;2025-06-20T21:34:13
462;Dante Fogaça;650.792.384-29;M;1960-07-24;1;QDXT6238;False;;;2025-05-02T08:24:23;agathada-luz;2025-05-02T08:24:23;agathada-luz;551122389294;dante11@bol.com.br;2025-11-18T23:23:18
463;Vitor Gabriel Pinto;354.826.901-05;M;1983-03-08;2;;False;;;2025-09-22T01:20:03;maitefonseca;2025-09-22T01:20:03;maitefonseca;555148880745;vitor29@yahoo.com.br;
464;Yago Martins;095.137.268-86;M;1975-12-10;1;;False;;;2025-02-20T09:08:04;taraujo;2025-02-20T09:08:04;taraujo;5115248913;yago54@yahoo.com.br;2025-11-16T21:37:02
465;Dr. João Felipe Machado;709.643.528-00;M;1975-07-18;1;;True;2025-05-18T05:17:12;maria-lizandrade;2024-09-04T02:49:46;valentimlima;2024-09-04T02:49:46;valentimlima;5177000194;dr.14@bol.com.br;2025-10-07T15:02:58
466;Emilly Oliveira;019.476.253-06;F;1973-05-14;2;;False;;;2025-11-28T09:09:06;barbara72;2025-11-28T09:09:06;barbara72;7153666390;emilly19@gmail.com;
467;Sara Casa Grande;672.103.958-30;F;2004-07-06;1;;False;;;2025-06-26T01:38:34;thomasda-mata;2025-06-26T01:38:34;thomasda-mata;9005121223;sara54@uol.com.br;2025-08-11T08:40:08
468;Sr. Isaac Gonçalves;685.109.734-66;F;2000-03-30;1;;False;;;2024-04-12T00:35:58;sda-paz;2024-04-12T00:35:58;sda-paz;551179598363;sr.14@hotmail.com;2025-11-26T12:15:25
469;Dr. Luiz Gustavo Porto;570.192.346-07;M;1995-07-05;2;VRMD3837;True;2025-10-09T21:31:51;ferreirajulia;2025-09-21T20:44:38;joao-lucascamargo;2025-09-21T20:44:38;joao-lucascamargo;2142460557;dr.56@hotmail.com;
470;Mateus Camargo;78.946.250/0001-06;M;1967-07-23;1;;True;2025-09-03T03:53:17;bentogarcia;2024-11-15T14:51:49;manuela90;2024-11-15T14:51:49;manuela90;4154499823;mateus7@gmail.com;2025-07-16T16:19:54
471;Leonardo Novais;19.602.375/0001-50;M;1957-08-04;1;NEER5778;True;2025-09-18T12:34:20;matheus64;2025-06-28T02:29:59;qfarias;2025-06-28T02:29:59;qfarias;554146498394;leonardo58@bol.com.br;2025-11-08T21:11:07
472;Maria Luiza Abreu;286.435.079-38;F;1961-02-16;1;;False;;;2024-09-30T19:47:19;yalves;2024-09-30T19:47:19;yalves;558142365338;maria94@uol.com.br;2025-10-20T12:05:36
473;Ana Laura da Conceição;19.386.504/0001-10;F;1959-04-04;2;YEMT9006;False;;;2025-01-31T15:54:01;miguel44;2025-01-31T15:54:01;miguel44;4117680805;ana16@bol.com.br;2025-05-06T19:29:35
474;Kamilly Cunha;368.924.517-64;M;1980-04-17;1;;False;;;2025-06-18T21:05:24;maria-helenada-luz;2025-06-18T21:05:24;maria-helenada-luz;5502184621232;kamilly67@ig.com.br;2025-11-05T13:31:59
475;Lorena Cirino;782.604.195-30;F;1991-07-01;2;;False;;;2024-02-16T21:25:36;cavalcantiluiz-fernando;2024-02-16T21:25:36;cavalcantiluiz-fernando;5505170653032;lorena34@ig.com.br;2024-11-07T11:34:29
476;Theodoro Viana;036.942.718-13;F;1956-07-26;1;;True;2025-07-15T21:25:43;pireseloa;2025-01-11T19:19:20;pereiralorenzo;2025-01-11T19:19:20;pereiralorenzo;1163594751;theodoro10@gmail.com;2025-10-03T15:20:33
477;Dr. Ryan Cassiano;816.702.534-90;F;1964-12-28;1;APDT6398;True;2025-08-17T03:57:40;isabellanovaes;2024-06-25T16:18:52;luan99;2024-06-25T16:18:52;luan99;4163202321;dr.3@uol.com.br;2025-08-05T10:22:07
478;Hellena Barbosa;302.194.876-69;F;1958-04-08;2;IJZC4273;False;;;2025-10-08T07:38:30;yuricunha;2025-10-08T07:38:30;yuricunha;7142376270;hellena70@gmail.com;
479;Sr. Oliver Macedo;213.870.645-17;F;1978-08-20;2;;False;;;2025-10-20T20:38:56;sabrinapereira;2025-10-20T20:38:56;sabrinapereira;5505160242957;sr.4@gmail.com;
480;Sr. Ravi Sampaio;803.792.461-04;F;1969-08-10;1;;True;2025-06-25T02:32:23;caroline09;2024-10-22T17:31:39;ana-ceciliamarques;2024-10-22T17:31:39;ana-ceciliamarques;7120967954;sr.58@ig.com.br;2025-10-21T12:47:19
481;Davi Câmara;48.205.361/0001-09;F;1980-09-25;2;PGIA0874;False;;;2025-02-09T23:09:10;vicentearaujo;2025-02-09T23:09:10;vicentearaujo;3169852295;davi41@bol.com.br;
482;Heloisa Sales;34.698.750/0001-09;M;1995-05-16;1;FTIW2389;True;2024-12-11T08:06:36;julianaalves;2024-06-17T08:47:49;gabriel01;2024-06-17T08:47:49;gabriel01;5504156683055;heloisa4@yahoo.com.br;2025-08-27T13:54:40
483;Sr. Bento Cardoso;408.625.973-74;M;2005-07-18;2;;False;;;2025-01-29T13:03:24;arthur-gabriel68;2025-01-29T13:03:24;arthur-gabriel68;558467659213;sr.74@gmail.com;
484;Ryan Gomes;806.923.751-12;F;1981-01-10;1;GZOS8454;False;;;2025-10-18T02:28:18;andradeasafe;2025-10-18T02:28:18;andradeasafe;552195209356;ryan8@gmail.com;2025-10-29T12:42:58
485;Dr. Paulo Cunha;287.905.614-49;M;1952-07-27;2;;False;;;2025-11-25T08:12:41;garciaaugusto;2025-11-25T08:12:41;garciaaugusto;8005559001;dr.47@ig.com.br;
486;Bryan Gonçalves;690.578.431-10;F;1991-09-24;1;KHTC4463;False;;;2024-06-01T16:25:09;ida-conceicao;2024-06-01T16:25:09;ida-conceicao;5503114155622;bryan44@hotmail.com;2025-08-20T13:53:52
487;Allana Martins;715.968.340-48;F;2006-09-28;1;;False;;;2025-07-01T22:10:07;igor45;2025-07-01T22:10:07;igor45;555165057341;allana14@hotmail.com;2025-08-17T11:49:20
488;Dr. Liam Jesus;438.672.905-47;M;1994-09-20;1;;False;;;2024-04-09T22:45:25;lunna57;2024-04-09T22:45:25;lunna57;3183096661;dr.27@gmail.com;2025-09-15T12:47:22
489;Liz Nogueira;356.947.021-07;F;1991-03-06;1;;True;2025-09-04T13:39:56;vieiramurilo;2025-08-07T23:12:12;xda-cruz;2025-08-07T23:12:12;xda-cruz;8005195327;liz71@gmail.com;2025-10-14T11:05:03
490;Gael Henrique Azevedo;574.902.618-30;M;1979-12-27;1;;False;;;2024-09-28T07:01:47;lucca61;2024-09-28T07:01:47;lucca61;5508150052092;gael75@hotmail.com;2025-08-28T20:33:29
